"","tissue_cluster","an1","Antioxidant_fusion","Response_fusion","Generation_fusion","anti_all","resp_all","gener_all","tissue","system","system1","color"
"1","Abomasum_0",0.179869801217634,6.85629344448642e-07,5.40723666850215e-07,6.5510560066586e-07,0.187036077203788,0.0753426304385126,0.114707917225644,"Abomasum","Digestion system",2,"#87CEEB"
"2","Abomasum_1",0.0490174068947082,3.75913221855104e-07,6.79579294543641e-07,2.91321768846132e-07,0.0532354025749476,0.119217646833401,0.00214089355798926,"Abomasum","Digestion system",2,"#87CEEB"
"3","Abomasum_10",-0.0881958728064789,3.06449682906292e-07,4.29424346974645e-07,6.39287252640379e-07,-0.0503405545172391,0.00566660719436314,0.0143385816271704,"Abomasum","Digestion system",2,"#87CEEB"
"4","Abomasum_11",0.105700588050761,6.5704298852798e-07,9.7359971545321e-07,2.67322423436316e-07,0.137161594740471,0.0688167644216574,-0.0424503692690147,"Abomasum","Digestion system",2,"#87CEEB"
"5","Abomasum_12",0.287520325971198,3.57068544897849e-06,7.42838220618797e-07,7.61249849572502e-07,0.362607687627588,0.036405159595615,0.0832245104245881,"Abomasum","Digestion system",2,"#87CEEB"
"6","Abomasum_13",0.0161190106414222,6.32512840100862e-07,3.19957722958704e-07,2.57919356141106e-07,0.153338300068994,-0.0702782116883151,-0.019260776587734,"Abomasum","Digestion system",2,"#87CEEB"
"7","Abomasum_14",-0.0844685281469791,2.55079404019573e-07,4.59597435787604e-07,2.16889190357021e-07,-0.111069575002093,0.0182281674848472,-0.0657294095721746,"Abomasum","Digestion system",2,"#87CEEB"
"8","Abomasum_15",-0.144157168687596,2.11343676089325e-07,5.00453560223183e-07,4.84649249744077e-07,-0.0857828116567738,-0.00882352755434473,-0.0268142820557285,"Abomasum","Digestion system",2,"#87CEEB"
"9","Abomasum_16",0.0640471968747323,4.16173806071482e-07,5.83617583546132e-07,2.67607386241838e-07,0.0682178714072606,0.0200603899612232,-0.0482574767211363,"Abomasum","Digestion system",2,"#87CEEB"
"10","Abomasum_17",0.103310594081402,5.91782992525917e-07,5.60734134659642e-07,1.56574638531798e-06,0.0164014355425003,-0.0190630510629451,0.163037063534157,"Abomasum","Digestion system",2,"#87CEEB"
"11","Abomasum_18",0.0194552187588437,8.84147559770681e-07,1.87476287597567e-06,3.77373647061422e-07,0.223183037363153,0.176692712258453,0.0241608608331229,"Abomasum","Digestion system",2,"#87CEEB"
"12","Abomasum_19",-0.0158846093356587,2.71815337087516e-07,3.08322553391806e-07,2.23904737182075e-07,-0.0292335523901163,-0.0914267683271449,-0.0664863245526747,"Abomasum","Digestion system",2,"#87CEEB"
"13","Abomasum_2",0.0017189052777841,3.03052219739106e-07,2.86712168831328e-07,2.17153986986382e-07,0.0115264735399444,-0.0917190090406202,-0.0681162260158687,"Abomasum","Digestion system",2,"#87CEEB"
"14","Abomasum_20",-0.133460703521559,2.11820255564183e-07,6.00109515389551e-07,3.96032606047951e-07,-0.103801688062981,0.0941705789926944,0.0413811105077754,"Abomasum","Digestion system",2,"#87CEEB"
"15","Abomasum_21",0.348268711210987,8.73207603793328e-07,5.18029935162111e-07,3.09551073205717e-07,0.179165162823528,-0.00183754864030667,-0.0427328617945622,"Abomasum","Digestion system",2,"#87CEEB"
"16","Abomasum_3",-0.0422430533809287,2.27385825088556e-07,4.1821351519436e-07,2.25497258864396e-07,-0.0603369859162008,-0.0253661796185552,-0.061331477320279,"Abomasum","Digestion system",2,"#87CEEB"
"17","Abomasum_4",0.167666464812848,6.3890838955603e-07,6.57283274954608e-07,3.40452799566402e-07,0.186831221098864,0.138911319131778,0.0121892093741149,"Abomasum","Digestion system",2,"#87CEEB"
"18","Abomasum_5",0.023599814975676,4.71262794992641e-07,3.24925673705702e-07,3.06703006322214e-07,0.028853494311034,-0.0724341406357969,-0.0353025392171355,"Abomasum","Digestion system",2,"#87CEEB"
"19","Abomasum_6",-0.0779683591115699,1.59117955699162e-07,3.43660606807283e-07,1.96168062787736e-07,-0.110333448747334,-0.0639617176598955,-0.0784368730194489,"Abomasum","Digestion system",2,"#87CEEB"
"20","Abomasum_7",0.0100668452798543,4.44368210478298e-07,4.02705822354185e-07,2.33061019807284e-07,0.0935130683561484,-0.0489456046481341,-0.0296343999361367,"Abomasum","Digestion system",2,"#87CEEB"
"21","Abomasum_8",-0.0981952367967771,2.22684466550591e-07,3.69876243295045e-07,2.87970038359188e-07,-0.0970272898866021,-0.0341762030608933,-0.043759546152879,"Abomasum","Digestion system",2,"#87CEEB"
"22","Abomasum_9",0.0609949093508952,3.95986326807382e-07,2.83695951425181e-07,3.22132333478889e-07,0.0315468397026201,-0.0966032378042946,-0.0594013540453879,"Abomasum","Digestion system",2,"#87CEEB"
"23","Adipose_0",-0.0930082340656995,4.35520263419111e-07,6.36936753100233e-07,3.16870463553428e-07,0.0458586351962918,0.0829059607780476,-0.00439454592697418,"Adipose","Other",7,"#ADD8E6"
"24","Adipose_1",-0.0760140727095866,4.15506237153886e-07,4.59429603531417e-07,2.82160221158894e-07,0.0450713505135166,0.0036669824808845,-0.0288486581800657,"Adipose","Other",7,"#ADD8E6"
"25","Adipose_10",-0.135287059950042,1.65905354015781e-07,7.18459157368825e-07,2.77457273381461e-07,-0.117293156006642,0.0366015024425655,-0.0276092323108845,"Adipose","Other",7,"#ADD8E6"
"26","Adipose_2",-0.0981807982559698,4.2249170719531e-07,5.64092707454992e-07,3.16931804117372e-07,0.0416325720334284,0.0434890693134195,-0.0256367385172883,"Adipose","Other",7,"#ADD8E6"
"27","Adipose_3",-0.201877861996779,1.74449580843979e-07,3.82910437526017e-07,2.4028672768529e-07,-0.129751134978276,-0.0583298184096316,-0.0599669491770684,"Adipose","Other",7,"#ADD8E6"
"28","Adipose_4",-0.148179173601094,1.67087323610122e-07,4.46130974684314e-07,2.81286390961568e-07,-0.113122015640867,-0.0353872249199835,-0.0460082103574522,"Adipose","Other",7,"#ADD8E6"
"29","Adipose_5",-0.139172385658403,1.88111486476327e-07,6.86943392253603e-07,3.05529206404923e-07,-0.109960739451847,0.0404632020610289,-0.00692963186915616,"Adipose","Other",7,"#ADD8E6"
"30","Adipose_6",-0.135010955637508,2.55158134877666e-07,6.43870501339656e-07,2.66275052658296e-07,-0.0189933792939062,0.112460789271612,-0.0111148046770835,"Adipose","Other",7,"#ADD8E6"
"31","Adipose_7",-0.108183417465096,1.93277475400587e-07,8.20563362099542e-07,2.46758523014332e-07,-0.0884187920441617,0.158748556580204,-0.0380914407438997,"Adipose","Other",7,"#ADD8E6"
"32","Adipose_8",-0.0810920722810787,3.39528227404235e-07,6.80743956140402e-07,4.20995608624601e-07,0.0592250427125414,0.101759680537286,0.0899164918826827,"Adipose","Other",7,"#ADD8E6"
"33","Adipose_9",-0.164867314719548,1.81690852174926e-07,3.9631290793771e-07,4.12492342888023e-07,-0.111462880390821,-0.0557642203938038,-0.032222623619163,"Adipose","Other",7,"#ADD8E6"
"34","Adrenal_0",0.0440853735151926,6.69891357707223e-07,5.45634414462026e-07,2.87582254135242e-07,0.184006749142924,0.0302151140572397,0.0183857952891594,"Adrenal","Urinary system",10,"#4169E1"
"35","Adrenal_1",0.175219142577007,1.74166934676792e-06,1.42940513842343e-06,3.85058132294929e-07,0.32540048888023,0.236919428809615,0.059975198924021,"Adrenal","Urinary system",10,"#4169E1"
"36","Adrenal_10",-0.0559201811255328,2.48566668154903e-07,1.34259228447964e-06,2.15949343377456e-06,-0.0664497066027085,0.188018123092176,0.251149245837208,"Adrenal","Urinary system",10,"#4169E1"
"37","Adrenal_11",-0.0532317133187059,3.08318044665284e-07,5.1325102003299e-07,2.46816685657326e-07,0.0373483721136523,-0.0178348980247051,-0.00853937253682606,"Adrenal","Urinary system",10,"#4169E1"
"38","Adrenal_12",0.0640578092424777,4.18042423760307e-07,6.35931185850281e-07,7.8554749076866e-07,0.054844130932502,0.0735063166211484,0.140185490208345,"Adrenal","Urinary system",10,"#4169E1"
"39","Adrenal_13",0.00712381674774839,3.54307718951213e-07,5.79851457117849e-07,2.71407640463268e-07,0.0250667481494361,0.00886672218937118,-0.0419168568049939,"Adrenal","Urinary system",10,"#4169E1"
"40","Adrenal_14",0.043294626588919,2.30868988528236e-07,5.02629633643332e-07,3.14939071262824e-07,-0.0459448079484534,0.0326157305660999,0.00491459826631855,"Adrenal","Urinary system",10,"#4169E1"
"41","Adrenal_15",0.00714400650640438,3.84533534184184e-07,7.3690104509262e-07,2.74618322173912e-07,0.0197947178271707,0.0587490156621006,-0.0383269852107939,"Adrenal","Urinary system",10,"#4169E1"
"42","Adrenal_16",0.115073832768254,8.84717104518949e-07,1.58467826315683e-06,7.39232781988911e-06,0.0988220555232982,0.196186766087349,0.362935081345002,"Adrenal","Urinary system",10,"#4169E1"
"43","Adrenal_17",0.00334459149423759,3.70362979689629e-07,4.21258633156771e-07,3.0124794156343e-07,0.0550126039380823,-0.0191806447123196,-0.00173589476188333,"Adrenal","Urinary system",10,"#4169E1"
"44","Adrenal_18",0.0157354421668528,2.68284577054518e-07,5.82704805531134e-07,4.71970815793142e-07,-0.0141014591143316,0.105982623958379,0.0477523092996069,"Adrenal","Urinary system",10,"#4169E1"
"45","Adrenal_19",0.133890876453357,8.99659467759158e-07,5.45034644092845e-07,2.55461121039019e-07,0.26234561197456,0.0341691125021054,0.00318575963329328,"Adrenal","Urinary system",10,"#4169E1"
"46","Adrenal_2",0.0521617814719189,8.62683147403361e-07,6.8299670731836e-07,3.60731370591543e-07,0.189870579644899,0.0633739457170124,0.0255927248782768,"Adrenal","Urinary system",10,"#4169E1"
