"","negative_regulation_of_hydrogen_peroxide_intrinsic_apoptotic_signaling","negative_regulation_of_hydrogen_peroxide_programmed_cell_death","negative_regulation_of_intrinsic_apoptotic_signaling_pathway_response_hydrogen_peroxide","oxidative_stressinduced_premature_senescence","positive_regulation_hydrogen_peroxide_programmed_cell_death","regulation_of_cellular_response_oxidative_stress","regulation_of_removal_superoxide_radicals","cellular_response_to_hydroperoxide","cellular_response_to_lipid_hydroperoxide","cellular_response_to_oxidative_stress","cellular_response_to_reactive_oxygen_species","cellular_response_to_superoxide","cellular_response_to_hydrogen_peroxide"
"Abomasum_0",0.147150213423234,-0.143561521225725,-0.0911104866218959,-0.197345258349854,0.0867450001339274,0.0883669776479585,-0.0328037087739559,-0.0351611734223723,0.816028792544376,0.0653408256106168,0.0569233755786343,0.207145667359666,0.0117354917960548
"Abomasum_1",-0.074510330787982,0.00587453325239614,0.198563728812568,-0.222858297876669,0.493052749962084,0.204357198708441,-0.0644072467923547,0.00383151146704782,0.602665010814496,0.0637160517120911,0.0954110255330377,0.229413833689507,0.0147196403395496
"Abomasum_10",0.0572238414242265,-0.150130133861245,0.407847176349133,-0.0892020206017663,-0.140278013481487,-0.136056969105554,-0.0889538684532773,0.00238466347298562,-0.306181542478188,-0.0218292657642355,-0.0468142363237956,0.581560509282643,0.00409575306728108
"Abomasum_11",0.208654164679879,0.0365287289738726,-0.0189088510514025,0.614326381023105,-0.112757495967838,-0.0396188599185795,0.29882793181622,-0.105672426893829,-0.117067779960041,0.0251649701973419,0.06065344407698,0.0363736472612603,0.00811408324457969
"Abomasum_12",0.323645470625857,0.0050228890691792,0.142885610578315,-0.0823175611824209,-0.0173067761406593,0.0284500398419477,0.225068232792622,-0.0141515307778842,-0.255671991363306,0.0812167362329706,0.00365141901145071,0.047898744492575,-0.0151242084376504
"Abomasum_13",0.157288288771711,-0.126832487376406,-0.210897515194095,-0.12656473241067,-0.0527853296144475,-0.057929180468451,-0.12842877088129,-0.163443626556701,-0.317342520394058,-0.000960744522507453,-0.0234575820825081,0.151690388164445,-0.0139529393831172
"Abomasum_14",0.436281276123693,-0.192736887663349,0.305890661961113,-0.169017117263675,0.1996571471185,-0.0557491821424118,-0.11460468598062,-0.0199582403706549,-0.393594420464846,-0.0118652689857938,0.0332142675437402,0.323984313729863,-0.104535686302546
"Abomasum_15",-0.129153940963178,-0.0797983186940838,0.443509215764489,-0.0285975685731598,-0.0163386751732043,0.193301534534061,0.0103610322767325,0.0325252088272253,-0.262238533307687,-0.0903156945527807,-0.0416920320839151,-0.142162067152062,-0.00410601910891826
"Abomasum_16",0.244777042439814,0.215424887128513,-0.0596644852195985,0.0257607115477468,-0.140387321088728,-0.0889739474837695,-0.146751989936941,-0.149630197159358,0.210316867868892,-0.0117694532669688,-0.00961666243530238,0.0864018930937281,0.0848977240078738
"Abomasum_17",-0.0473356352446287,0.0738675876145382,0.0374927040892457,-0.00572842843711623,-0.121381465833809,-0.0207437928296824,-0.0202551641746424,-0.0313630822296853,0.010512576251259,-0.00682874889226785,-0.0272283533104222,-0.115751971109653,0.0269241102885774
"Abomasum_18",0.375594294237861,0.254861066453224,0.0226614481850744,1.10415205276503,-0.119337956428339,0.0105201006796357,0.345587585689037,-0.148452381989886,0.0115376678758102,0.12871704263838,0.142114875237602,0.0641405898540987,0.104908874162365
"Abomasum_19",-0.0284385200302455,-0.0185106460866972,-0.162217100977445,0.0778652696100857,-0.175673990969768,-0.129637733916642,-0.0757516128970554,-0.0734596065384211,-0.165942503627667,-0.104951319633719,-0.0882247993601174,-0.158813167723789,-0.084792256101404
"Abomasum_2",0.0894736382957732,-0.0303233438106676,-0.161246922986191,0.0208214629812782,-0.156127884203833,-0.131516228157691,-0.17491207328075,-0.130359263616954,-0.124280879583087,-0.11003336906281,-0.111614979534082,-0.0862570159516082,-0.0859702586174413
"Abomasum_20",0.00397488445940548,-0.0585491399866244,0.109512700206571,-0.197496334861462,0.316881797807926,0.739241315319858,-0.170798098735854,0.0139504273357264,0.393876984624635,-0.0282770417191995,0.0122647206090335,0.15139033073064,-0.0617550188856283
"Abomasum_21",0.45909242046972,0.000458582282353417,-0.177144591833756,0.00757448408887122,-0.0153964165550795,-0.0659698125619974,0.0599182104654897,-0.186930997788236,-0.362379849275386,0.0356045220308152,0.0221000445459623,0.191315046535924,0.00787022527133189
"Abomasum_3",-0.0687483096601419,0.152408532067003,0.223732795020676,0.00357422608256289,-0.0101844638631066,-0.0256595473038294,-0.176046285370218,-0.087213065342437,-0.019584255254868,-0.0909320649507572,-0.06108755780877,-0.102403930714197,-0.0676164079431333
"Abomasum_4",0.141308020135878,-0.145499118772592,-0.00805182384296494,-0.23802975798886,0.249582975511504,0.0721542621025167,0.0497378039273066,0.0233593446094665,1.03113158628637,0.0768499583223983,0.0655160136078017,0.440947576414238,0.0468403084000503
"Abomasum_5",-0.0147634745430761,-0.030476439956806,-0.0995967557660516,0.0457082894252242,-0.190741040938229,-0.124296245711254,-0.1498713011075,-0.100044761952274,0.181809916542592,-0.0992079158530681,-0.112727586651381,-0.151007549759709,-0.096428961993827
"Abomasum_6",-0.130151849458287,0.0844195880316543,0.048049981376332,0.0312079113835428,0.00159342480867136,-0.0318830917567498,-0.18430170380043,-0.0476310094009309,-0.141335997690689,-0.115121832685028,-0.0919314348528726,-0.155031979058605,-0.0993843364752486
"Abomasum_7",0.0369274863299682,-0.0936959877625929,-0.153454366784098,-0.109568845531623,-0.208228315056146,-0.116065069317139,0.266505465174958,0.089830865545732,-0.311793287403963,-0.0348694862349193,-0.0221037415091952,0.0420598574795051,-0.0218374353562301
"Abomasum_8",0.0414159696885529,-0.122493649694823,0.443336743888985,-0.0578711345113307,-0.11273379070265,-0.146598550225238,-0.162315511669722,-0.120441251912871,-0.186477064769262,-0.0690704412464014,-0.0598233596647147,0.127877248377824,-0.0190958473499601
"Abomasum_9",-0.0485376895523956,-0.0897501080806754,0.00194720075511447,-0.00792055340917608,-0.231034688328665,-0.113737221575337,-0.166899193522173,-0.0749877243695347,-0.256257245551705,-0.054892126440182,-0.0698760830367291,-0.0203564370482483,-0.123540221296125
"Cecum_0",0.0110955373762193,-0.241060828666955,0.328617868113523,-0.161196741182469,0.0509498960558847,-0.0579625613840556,-0.178762721710292,-0.178084342953778,-0.199235045267169,-0.00896232550917969,0.0137092968556695,0.22177956961705,0.019000002458132
"Cecum_1",-0.0227447049468694,-0.200720329964957,0.465639301207923,-0.14222912682976,0.0740864807768416,-0.0884979128295766,-0.170036656879055,-0.148676010557532,-0.0760155320131903,-0.0154848342081167,-0.00359078550012435,0.153863976146386,0.0339926357193679
"Cecum_10",-0.201107183719324,0.395906778034126,-0.0243995726505368,-0.0820908742044341,-0.155339737764883,0.235672475923196,0.0263952088870734,0.321875450805209,0.105515144393966,0.0392735079836779,0.125151652954633,-0.229833866930101,0.127246273555333
"Cecum_11",-0.133803395554121,-0.0987840539994582,0.502049588954319,-0.0650862373370818,0.0406098636956538,0.286303930829935,0.138187470428209,0.474657218072305,-0.511646162944701,-0.0453875511199342,0.09580579419967,-0.151378727128882,0.00048789162368861
"Cecum_12",-0.0166521295732451,-0.140556860283425,0.0228223028413844,-0.157115861782677,-0.185338442947559,-0.114598600438281,0.367165284816229,0.0779182606147274,-0.320651633996881,0.011695021240217,0.0166805836974596,0.0366357735048843,0.0337693087319897
"Cecum_13",0.3295283633348,-0.200010181217908,0.215790695377285,-0.132085712841656,-0.220695861923895,-0.151320970084456,-0.0747703878282866,-0.0478192124472721,0.224251095930706,0.0452148814973326,0.00253538376537636,0.661301294285764,0.101906954671267
"Cecum_14",0.418070041410894,-0.13185113375159,0.0673747672175942,-0.130039956193184,-0.214513605078815,-0.0963949738275123,0.110099929728083,-0.134811646781948,0.178295153581945,0.141419091909229,0.0606338840636659,0.175305876873964,0.0982645451953999
"Cecum_15",0.281814190320231,-0.124769210338525,-0.0647277183906388,0.338013857935612,-0.175944552139963,-0.0355592171752732,-0.0564428846596349,-0.110535260968649,0.191303227788213,0.168960340237568,0.116815623291901,0.171407467391952,0.0963721302925726
"Cecum_16",0.304189567404476,0.248136096366147,0.136737476594553,0.832101976156997,-0.0479029906104229,0.00213080923612958,0.107857451426398,-0.179594326141058,0.0433762153505661,0.171827862543469,0.208708339442194,0.0707224444762337,0.0595311662852973
"Cecum_17",0.399475200265556,-0.229263622650413,-0.0598012549700753,-0.192198916292717,-0.144119718963824,-0.0494502526443214,-0.077470352790407,-0.220382034117534,-0.273546349138217,0.0753884310133785,0.0357787942917779,0.266265691238407,0.0629353687992246
"Cecum_18",-0.0239442511966529,-0.107676265751219,0.248186057705756,-0.0160288333743715,-0.0325454668751766,-0.0153585561079382,-0.130993021074224,-0.0398150492621371,0.029034508333198,-0.0406968792966563,-0.0160472887361397,0.0205407070271477,0.0139299023612059
"Cecum_19",0.176076782850498,-0.185999611216315,0.404430879392189,-0.135015153404236,-0.0928639761865439,-0.0763862583073891,-0.051670247830009,-0.127802298068337,0.0228838573624138,0.0382443865200918,0.0268372763753083,0.301472767499953,0.0626141583907985
"Cecum_2",0.00842522939120155,-0.235090355300027,0.304984817039321,-0.147421759865211,-0.0126453363451551,-0.0629001669761716,-0.158622826482103,-0.17135870419822,-0.131131689551961,-0.0193180395955105,0.0182295791572393,0.162434849307383,0.0268173870112386
"Cecum_20",0.44258417480882,-0.207232186518291,0.388182481568658,-0.13149750675788,-0.348499145146258,-0.180307964139854,-0.128217236880706,-0.0872757173839902,-0.430946180886902,0.114188520556502,0.0938016376166454,0.420333924010849,-0.0253675115890314
"Cecum_21",0.334383551188811,-0.158560958756506,0.263763452950811,-0.0770393829983141,-0.335703644512021,-0.128508855988684,-0.217248251106027,-0.0341360505106792,-0.211633870821664,0.0661867663809821,0.0911734216357638,0.200078619461557,-0.0665510700763114
"Cecum_3",-0.146740792987762,-0.177950402106205,0.513112804539372,-0.12033901244189,0.0809338939727684,-0.0289134069998582,-0.135726951805674,-0.136030196317908,-0.2192130857535,-0.0645632217239228,-0.0181071297656233,0.0159908922310185,0.00239216464905019
"Cecum_4",0.00320903147751405,-0.211560207321719,0.317222751903882,-0.130663480642674,-0.063741278644809,-0.083334177638953,-0.1742843373725,0.152464246965063,-0.360438522036025,0.0207191292424529,-0.0101912101193644,0.530115131109239,0.0197309578253299
"Cecum_5",0.327844527629283,-0.14257915756516,0.296379333017031,-0.187462514709656,0.0412817925247992,-0.0576220717262308,-0.206056529652683,-0.178930672502661,-0.224982578572993,0.0353731297248959,0.0494761638457391,0.424730265470994,-0.014413885180374
"Cecum_6",-0.0652503127445444,-0.12472677484702,0.288996790513414,-0.0751116895560762,-0.116993033581555,-0.0402189777332401,-0.15295763065056,-0.0201409389644651,-0.348450099745396,-0.00442867285470835,-0.0211693154762666,0.0598656621418885,-0.0944216841550593
"Cecum_7",0.25024236568626,-0.144205726055101,0.381639432373685,-0.204512143447032,0.223476310756638,0.116580420196327,-0.0760841361872515,-0.047156953397384,1.37721406086307,0.078068187842182,0.0479803631612346,0.107197917420125,0.0795856178202046
"Cecum_8",0.117061808247336,-0.0884491008473214,0.336648395801636,-0.101155863388778,-0.252610885482289,-0.0333935619691017,-0.0226221192559561,-0.055046990895945,-0.269731888521035,0.117630354263315,0.056020395393629,0.0594281599160645,0.119127513963082
"Cecum_9",0.055819894132318,-0.0596611636300681,0.201439602647915,-0.0982782335595005,-0.216849879589511,0.0571092989362608,0.125474522490261,0.0451158623215588,0.570555419090893,0.118302461259298,0.0179471179239811,0.102359213738319,0.146678834307197
"Colon_0",-0.0252909052153555,-0.242117193981418,0.357533077320053,-0.15819655352256,0.0179367049099311,-0.0518957884193223,-0.150520203736663,-0.17093215471302,-0.20691478763416,-0.0199804344200966,0.0203153854212235,0.115674640356115,0.0271503980933325
"Colon_1",-0.00657872651885698,-0.247451233610447,0.402827441339945,-0.175842282441431,0.0823525162303751,-0.0483469704455941,-0.149421733090667,-0.187359195365246,-0.261976113140844,-0.00723343628631789,0.0212258331521262,0.187276547570142,0.024335120295
"Colon_10",0.0480270983359484,-0.102442436180903,0.135375309067662,-0.0739459940760983,-0.00794263305354945,-0.0311165297708632,-0.0601111127595096,0.0869809829072824,0.18376688853043,-0.0428342877852994,-0.0488430650272282,-0.102766621568398,0.00948004428914669
"Colon_11",0.103217787058645,0.155329594089775,-0.118817821550004,0.474675513100686,-0.00762850944967787,0.00459684420643331,-0.00949107229573527,-0.0341622231898506,0.240631955778682,0.0663537028190586,0.106849226386993,0.0241112946597435,0.0614693959958881
