"","an1","an2","an3","an4","an5","an6","an7","an8","an9","an10","an11","an12","an13","an14","an15","an16","an17","an18","an19","negative_regulation_of_hydrogen_peroxide_intrinsic_apoptotic_signaling","negative_regulation_of_hydrogen_peroxide_programmed_cell_death","negative_regulation_of_intrinsic_apoptotic_signaling_pathway_response_hydrogen_peroxide","oxidative_stressinduced_premature_senescence","positive_regulation_hydrogen_peroxide_programmed_cell_death","regulation_of_cellular_response_oxidative_stress","regulation_of_removal_superoxide_radicals","cellular_response_to_hydroperoxide","cellular_response_to_lipid_hydroperoxide","cellular_response_to_oxidative_stress","cellular_response_to_reactive_oxygen_species","cellular_response_to_superoxide","cellular_response_to_hydrogen_peroxide","gen1","gen2","gen3","gen4","gen5","gen6","gen7","gen8","gen9","gen10","gen11","gen12","gen13","gen14","gen15","gen16"
"Abomasum_0",0.179869801217634,0.120977816228036,-0.115348355880956,0.0722942034672638,0.142000695478914,0.0449930048903623,-0.239197975550559,-0.214859869030388,-0.0917358665457604,0.102995183087709,0.632616412352982,0.52404411243543,-0.339171238943983,0.335533225467344,0.271554858459697,-0.214859869030388,0.642561907591143,0.7365967974633,-0.103003640926853,0.147150213423234,-0.143561521225725,-0.0911104866218959,-0.197345258349854,0.0867450001339274,0.0883669776479585,-0.0328037087739559,-0.0351611734223723,0.816028792544376,0.0653408256106168,0.0569233755786343,0.207145667359666,0.0117354917960548,0.288410373293491,0.465927817123799,-0.0755099722675657,-0.286615737704117,0.250556499199501,-0.0616527911686022,-0.110993907041873,-0.0823922075173281,0.52404411243543,0.330636170318683,0.0238445915680551,0.418307160838504,-0.0693611440157801,-0.254292252689362,0.199018454413797,0.125517644625236
"Abomasum_1",0.0490174068947082,0.0884732533884833,-0.107928974165351,-0.03609926075108,0.0123588029432828,0.134664948452473,-0.296784260011935,-0.243309771896732,-0.127511295256408,0.0047473713749017,0.330339472256265,0.185347755673431,-0.342144142488248,0.185547699260891,0.242365728171271,-0.243309771896732,0.293494906157039,0.361064668626071,-0.121483603776591,-0.074510330787982,0.00587453325239614,0.198563728812568,-0.222858297876669,0.493052749962084,0.204357198708441,-0.0644072467923547,0.00383151146704782,0.602665010814496,0.0637160517120911,0.0954110255330377,0.229413833689507,0.0147196403395496,-0.0325133653860327,0.0558414324190307,-0.0552439949612762,-0.259257155651592,-0.095303416337462,-0.035143543458991,-0.144380482532721,-0.0848628260650649,0.185347755673431,0.183161898631518,0.00981074826580845,0.269935845144953,0.0100485201505886,-0.312969615325785,0.0286382756626001,0.121855685411225
"Abomasum_10",-0.0881958728064789,-0.0738732324461106,-0.104985709994518,0.035467016051339,-0.095415944862732,-0.00346816370169296,0.018830432763833,-0.00099320948739257,-0.0929666672720585,-0.0752660857477915,0.0140439987567041,0.0522364725966082,-0.103611249868268,-0.0855639484024796,-0.172527001318191,-0.000993209487392576,0.0221026538545772,0.0320788750679278,-0.0978966014004527,0.0572238414242265,-0.150130133861245,0.407847176349133,-0.0892020206017663,-0.140278013481487,-0.136056969105554,-0.0889538684532773,0.00238466347298562,-0.306181542478188,-0.0218292657642355,-0.0468142363237956,0.581560509282643,0.00409575306728108,0.0942889623555744,0.0220680661347209,-0.0198798347874716,-0.15667917247411,-0.0695905709939925,0.0758480792655067,-0.0337477283611864,0.121561460346255,0.0522364725966082,-0.0610237328126173,0.0157247178880295,0.00177487571513734,0.113565869571928,0.915328449485351,0.0662201301067949,-0.00360939558882429
"Abomasum_11",0.105700588050761,0.438416549781101,0.411951546526848,0.0952696483511296,0.259316910923434,-0.136266292132515,0.0324767138537834,-0.029351141590787,-0.253123725814496,0.310892153933419,0.10323076115906,-0.0369899018739949,0.252478331853623,0.0399303672212653,0.108235976025206,-0.029351141590787,0.0721361873003454,0.0300278002668292,-0.100414629168472,0.208654164679879,0.0365287289738726,-0.0189088510514025,0.614326381023105,-0.112757495967838,-0.0396188599185795,0.29882793181622,-0.105672426893829,-0.117067779960041,0.0251649701973419,0.06065344407698,0.0363736472612603,0.00811408324457969,-0.0868413084485049,-0.0119924000517341,0.0382281499269618,-0.129241931988821,0.0084887025718842,-0.0755780466356872,0.0432240995445694,-0.0570521478997694,-0.036989901873995,-0.0602202530370132,-0.017917750133099,0.00745637936605981,-0.0896507573730337,-0.166623991639104,-0.0523019411232614,-0.0302274452887804
"Abomasum_12",0.287520325971198,-0.0219494659411003,-0.0454798790078008,-0.0800245201908098,0.148910747923742,0.339350987542893,0.0324341156155762,-0.0386511917038051,-0.267880163622466,0.364199347739605,0.687876521115808,1.71120357252229,0.728468975849425,0.577440175886072,0.578409612082263,-0.0386511917038051,0.803595410008653,0.982793553862777,-0.0898570651866985,0.323645470625857,0.0050228890691792,0.142885610578315,-0.0823175611824209,-0.0173067761406593,0.0284500398419477,0.225068232792622,-0.0141515307778842,-0.255671991363306,0.0812167362329706,0.00365141901145071,0.047898744492575,-0.0151242084376504,0.136512970825552,0.603996928663059,-0.0131003588759744,-0.231495277583187,0.202710636679092,-0.0394958780725874,-0.0954957362761109,-0.104150791152265,1.71120357252229,-0.10183085474148,0.128151739457295,0.555170465666227,-0.0257913121989561,-0.201389439174827,-0.00512944150383688,0.0587651857568428
"Abomasum_13",0.0161190106414222,0.218695849152827,0.586384233423111,0.175799561188444,0.135407628375123,-0.111396618122479,0.0292626120357111,-0.0867552802865319,-0.282413684592046,0.190362764657445,0.169221753456169,-0.0757261257978542,0.520361426268968,-0.0983649964838668,0.182326706693445,-0.0867552802865319,0.132796650940959,0.134654415067265,0.0510691146723933,0.157288288771711,-0.126832487376406,-0.210897515194095,-0.12656473241067,-0.0527853296144475,-0.057929180468451,-0.12842877088129,-0.163443626556701,-0.317342520394058,-0.000960744522507453,-0.0234575820825081,0.151690388164445,-0.0139529393831172,0.0318932761313499,0.013896511490678,0.028235268958524,-0.189860382183996,0.0384496053266367,-0.0699299862414647,-0.0323619571477642,-0.0420228178596261,-0.0757261257978542,-0.0824476413051721,-0.00476824571079299,0.0812093646794984,-0.126581723677827,-0.344118566519948,0.0251962393789046,0.106937661479033
"Abomasum_14",-0.0844685281469791,-0.020729365365469,-0.0694006459222584,-0.225542970383842,-0.0597455726833699,-0.0614056440653414,0.139069581774517,-0.119595322357992,-0.41844360850114,-0.0191139822022853,-0.0370647195406783,-0.0909641736330537,-0.362000138346569,-0.133891239801319,-0.093184892195438,-0.119595322357992,-0.0528331761618732,-0.0862565715867334,-0.172299661053889,0.436281276123693,-0.192736887663349,0.305890661961113,-0.169017117263675,0.1996571471185,-0.0557491821424118,-0.11460468598062,-0.0199582403706549,-0.393594420464846,-0.0118652689857938,0.0332142675437402,0.323984313729863,-0.104535686302546,-0.129399110476456,-0.0162601202577915,-0.0453714879637464,-0.175892069841856,-0.0155455617613809,-0.0695929760882583,-0.218646865813191,-0.159914081171275,-0.0909641736330537,0.00701923338072075,-0.093457261471697,0.138956054088259,0.0784898537802304,-0.27037717962167,-0.120262796999996,-0.0799766218055775
"Abomasum_15",-0.144157168687596,0.00404719971085539,-0.00361707561033944,0.0784063930178115,0.268305023674906,-0.141177336773173,0.130473638533945,0.0571007492375856,-0.167958835390433,0.108422272965847,-0.260852970694672,-0.29374381883679,-0.269753055071476,0.0738595719236219,-0.205361193168463,0.0571007492375856,-0.271893038786099,-0.278336907667495,-0.11532104441249,-0.129153940963178,-0.0797983186940838,0.443509215764489,-0.0285975685731598,-0.0163386751732043,0.193301534534061,0.0103610322767325,0.0325252088272253,-0.262238533307687,-0.0903156945527807,-0.0416920320839151,-0.142162067152062,-0.00410601910891826,-0.0397841527985458,-0.0879432296244512,0.026283935751827,-0.127255021100981,-0.00101787649757082,-0.0509347725555032,0.00200962736571848,0.00838561955400749,-0.29374381883679,-0.0807430115080996,-0.0795899238202226,-0.127307867991541,0.316808952197042,1.19756751876288,-0.0235968801217603,-0.0576171298225627
"Abomasum_16",0.0640471968747323,0.34206006523902,0.797682276826238,0.0796107555972072,0.0307558408852897,-0.188200676644805,-0.0176866821904526,-0.0443842673204486,-0.260415610861407,0.0430257874920381,0.0905882641083202,-0.0250618496719486,-0.0686308064418781,-0.0397151651276424,0.178854072026414,-0.0443842673204486,0.0746329003200812,0.0597034408777387,-0.0316487927713881,0.244777042439814,0.215424887128513,-0.0596644852195985,0.0257607115477468,-0.140387321088728,-0.0889739474837695,-0.146751989936941,-0.149630197159358,0.210316867868892,-0.0117694532669688,-0.00961666243530238,0.0864018930937281,0.0848977240078738,-0.0665466818331638,0.0755794158043752,-0.006015469119468,-0.130169841282704,-0.0304666663484431,-0.101300183195149,0.00507708683004759,-0.126921467982731,-0.0250618496719486,-0.157257990911511,-0.0273256560712636,0.0902435642166352,-0.0549360420634246,-0.202396196015182,-0.0774308761689739,-0.0258918583684655
"Abomasum_17",0.103310594081402,-0.0317850459004159,-0.0241293252714937,-0.0233286321727577,0.0239116583817979,0.0647489005691246,0.0404282583502213,0.0703493878263733,-0.0800140181580981,0.0144860086350112,-0.132107079691998,0.520995169845189,0.119723209771305,0.136058783468795,0.101610103520072,0.0703493878263733,0.00494115577431934,0.0173564005941803,-0.071650534309286,-0.0473356352446287,0.0738675876145382,0.0374927040892457,-0.00572842843711623,-0.121381465833809,-0.0207437928296824,-0.0202551641746424,-0.0313630822296853,0.010512576251259,-0.00682874889226785,-0.0272283533104222,-0.115751971109653,0.0269241102885774,0.404095081843449,0.0773165347007873,0.00732322429263184,-0.0456500304530418,0.25050779240798,0.041790020318481,0.183038152752187,0.203668501004138,0.520995169845189,0.495094268409285,0.0380859900185379,-0.112234166559817,0.163223509918746,0.374584374346732,0.291965313358468,0.128580858224839
