"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Forestomach_epithelial","GO:0006412","translation","91/412","243/4524",3.53641238025643e-36,7.77303441180364e-33,7.16216570485619e-33,"RPLP1/RPS12/RPS8/RPS18/UBA52/RPL32/RPS27A/RPL18A/RPS3A/RPS7/RPL10/RPS9/RPL27A/RPL14/RPL6/RPL18/RPS23/RPS20/RPS6/RPLP2/RPS4X/RPS19/RPL28/RPS11/RPL11/RPS24/RPL37/RPS15/RPL3/RPL37A/RPL10A/RPS28/RPL23/RPS3/RPL19/RPL35/RPS27/RPL27/RPL13A/RPL13/RPS13/RPL39/RPS15A/RPL26/RACK1/FAU/RPS26/RPS29/RPL5/RPS21/EEF1G/RPL38/GAPDH/RPS17/EIF1/RPL4/RPS16/YBX1/RPL23A/RPL36A/EIF5A/PABPC1/EIF6/EIF3K/C1QBP/EIF3E/COA3/EIF3M/EIF3G/MRPS26/NDUFA7/EIF2S3/RPS27L/MRPL11/EIF4G2/NPM1/MRPL57/MRPL20/MRPL9/MRPL52/EIF3D/MRPL12/TUFM/EIF3I/MRPS16/ZFP36/EIF3L/MRPL34/EIF4A2/MAGOH/MRPL58",91
"Forestomach_epithelial","GO:0043043","peptide biosynthetic process","91/412","250/4524",5.14995953742271e-35,5.65980553162756e-32,5.21501165789542e-32,"RPLP1/RPS12/RPS8/RPS18/UBA52/RPL32/RPS27A/RPL18A/RPS3A/RPS7/RPL10/RPS9/RPL27A/RPL14/RPL6/RPL18/RPS23/RPS20/RPS6/RPLP2/RPS4X/RPS19/RPL28/RPS11/RPL11/RPS24/RPL37/RPS15/RPL3/RPL37A/RPL10A/RPS28/RPL23/RPS3/RPL19/RPL35/RPS27/RPL27/RPL13A/RPL13/RPS13/RPL39/RPS15A/RPL26/RACK1/FAU/RPS26/RPS29/RPL5/RPS21/EEF1G/RPL38/GAPDH/RPS17/EIF1/RPL4/RPS16/YBX1/RPL23A/RPL36A/EIF5A/PABPC1/EIF6/EIF3K/C1QBP/EIF3E/COA3/EIF3M/EIF3G/MRPS26/NDUFA7/EIF2S3/RPS27L/MRPL11/EIF4G2/NPM1/MRPL57/MRPL20/MRPL9/MRPL52/EIF3D/MRPL12/TUFM/EIF3I/MRPS16/ZFP36/EIF3L/MRPL34/EIF4A2/MAGOH/MRPL58",91
"Forestomach_epithelial","GO:0006518","peptide metabolic process","96/412","289/4524",3.34373763638746e-33,2.44984510825988e-30,2.25731621488052e-30,"RPLP1/RPS12/RPS8/RPS18/UBA52/RPL32/RPS27A/RPL18A/RPS3A/RPS7/RPL10/RPS9/RPL27A/RPL14/RPL6/RPL18/RPS23/RPS20/RPS6/RPLP2/RPS4X/RPS19/RPL28/RPS11/RPL11/RPS24/RPL37/RPS15/RPL3/RPL37A/RPL10A/RPS28/RPL23/RPS3/RPL19/RPL35/RPS27/RPL27/RPL13A/RPL13/RPS13/RPL39/RPS15A/RPL26/RACK1/FAU/RPS26/RPS29/RPL5/RPS21/EEF1G/RPL38/GAPDH/GPX1/RPS17/EIF1/RPL4/RPS16/YBX1/CLIC1/RPL23A/ETHE1/RPL36A/EIF5A/PABPC1/EIF6/EIF3K/C1QBP/EIF3E/COA3/EIF3M/EIF3G/MRPS26/NDUFA7/EIF2S3/RPS27L/MRPL11/EIF4G2/NPM1/PIN1/MRPL57/MRPL20/MRPL9/MRPL52/EIF3D/MRPL12/TUFM/EIF3I/MRPS16/PARK7/ZFP36/EIF3L/MRPL34/EIF4A2/MAGOH/MRPL58",96
"Forestomach_epithelial","GO:0043604","amide biosynthetic process","91/412","273/4524",1.61048577368721e-31,8.84961932641124e-29,8.15414375940579e-29,"RPLP1/RPS12/RPS8/RPS18/UBA52/RPL32/RPS27A/RPL18A/RPS3A/RPS7/RPL10/RPS9/RPL27A/RPL14/RPL6/RPL18/RPS23/RPS20/RPS6/RPLP2/RPS4X/RPS19/RPL28/RPS11/RPL11/RPS24/RPL37/RPS15/RPL3/RPL37A/RPL10A/RPS28/RPL23/RPS3/RPL19/RPL35/RPS27/RPL27/RPL13A/RPL13/RPS13/RPL39/RPS15A/RPL26/RACK1/FAU/RPS26/RPS29/RPL5/RPS21/EEF1G/RPL38/GAPDH/RPS17/EIF1/RPL4/RPS16/YBX1/RPL23A/RPL36A/EIF5A/PABPC1/EIF6/EIF3K/C1QBP/EIF3E/COA3/EIF3M/EIF3G/MRPS26/NDUFA7/EIF2S3/RPS27L/MRPL11/EIF4G2/NPM1/MRPL57/MRPL20/MRPL9/MRPL52/EIF3D/MRPL12/TUFM/EIF3I/MRPS16/ZFP36/EIF3L/MRPL34/EIF4A2/MAGOH/MRPL58",91
"Forestomach_epithelial","GO:0043603","cellular amide metabolic process","96/412","344/4524",2.15678730768461e-26,9.48123700458152e-24,8.73612374733722e-24,"RPLP1/RPS12/RPS8/RPS18/UBA52/RPL32/RPS27A/RPL18A/RPS3A/RPS7/RPL10/RPS9/RPL27A/RPL14/RPL6/RPL18/RPS23/RPS20/RPS6/RPLP2/RPS4X/RPS19/RPL28/RPS11/RPL11/RPS24/RPL37/RPS15/RPL3/RPL37A/RPL10A/RPS28/RPL23/RPS3/RPL19/RPL35/RPS27/RPL27/RPL13A/RPL13/RPS13/RPL39/RPS15A/RPL26/RACK1/FAU/RPS26/RPS29/RPL5/RPS21/EEF1G/RPL38/GAPDH/GPX1/RPS17/EIF1/RPL4/RPS16/YBX1/CLIC1/RPL23A/ETHE1/RPL36A/EIF5A/PABPC1/EIF6/EIF3K/C1QBP/EIF3E/COA3/EIF3M/EIF3G/MRPS26/NDUFA7/EIF2S3/RPS27L/MRPL11/EIF4G2/NPM1/PIN1/MRPL57/MRPL20/MRPL9/MRPL52/EIF3D/MRPL12/TUFM/EIF3I/MRPS16/PARK7/ZFP36/EIF3L/MRPL34/EIF4A2/MAGOH/MRPL58",96
"Forestomach_epithelial","GO:0034645","cellular macromolecule biosynthetic process","94/412","344/4524",4.72361808838276e-25,1.73041875971088e-22,1.59442828106113e-22,"RPLP1/RPS12/RPS8/RPS18/UBA52/RPL32/RPS27A/RPL18A/RPS3A/RPS7/RPL10/RPS9/RPL27A/RPL14/RPL6/RPL18/RPS23/RPS20/RPS6/RPLP2/RPS4X/RPS19/RPL28/RPS11/RPL11/RPS24/RPL37/RPS15/RPL3/RPL37A/RPL10A/RPS28/RPL23/RPS3/RPL19/RPL35/RPS27/RPL27/RPL13A/RPL13/RPS13/RPL39/RPS15A/RPL26/RACK1/FAU/RPS26/RPS29/RPL5/RPS21/EEF1G/RPL38/GAPDH/RPS17/EIF1/RPL4/RPS16/YBX1/RPL23A/RPL36A/EIF5A/PABPC1/EIF6/EIF3K/C1QBP/EIF3E/COA3/ITM2B/EIF3M/EIF3G/MRPS26/NDUFA7/EIF2S3/RPS27L/MRPL11/EIF4G2/NPM1/MRPL57/MRPL20/DAD1/MRPL9/MRPL52/EIF3D/MRPL12/TUFM/EIF3I/MRPS16/TMEM258/ZFP36/EIF3L/MRPL34/EIF4A2/MAGOH/MRPL58",94
"Forestomach_epithelial","GO:0002181","cytoplasmic translation","21/412","37/4524",2.8210272025563e-13,8.76989543786127e-11,8.08068522697433e-11,"RPL32/RPL6/RPL18/RPS23/RPLP2/RPS28/RPL19/RPL13A/RPS26/RPS29/RPS21/RPL38/YBX1/PABPC1/EIF3K/EIF3E/EIF3M/EIF3G/EIF3D/EIF3I/EIF3L",21
"Forestomach_epithelial","GO:0010257","NADH dehydrogenase complex assembly","22/412","41/4524",3.59094899639452e-13,8.76989543786127e-11,8.08068522697433e-11,"NDUFB10/NDUFA11/NDUFS8/NDUFB7/NDUFS5/NDUFB11/NDUFS7/NDUFAB1/NDUFA3/NDUFB5/NDUFC2/NDUFB3/NDUFS2/NDUFB8/NDUFB9/NDUFA1/NDUFA2/NDUFB1/NDUFC1/NDUFA13/NDUFB4/NDUFA8",22
"Forestomach_epithelial","GO:0032981","mitochondrial respiratory chain complex I assembly","22/412","41/4524",3.59094899639452e-13,8.76989543786127e-11,8.08068522697433e-11,"NDUFB10/NDUFA11/NDUFS8/NDUFB7/NDUFS5/NDUFB11/NDUFS7/NDUFAB1/NDUFA3/NDUFB5/NDUFC2/NDUFB3/NDUFS2/NDUFB8/NDUFB9/NDUFA1/NDUFA2/NDUFB1/NDUFC1/NDUFA13/NDUFB4/NDUFA8",22
"Forestomach_epithelial","GO:0033108","mitochondrial respiratory chain complex assembly","25/412","56/4524",1.87559476924242e-12,4.12255730279484e-10,3.79857298528676e-10,"NDUFB10/NDUFA11/COA3/NDUFS8/NDUFB7/NDUFS5/UQCRFS1/NDUFB11/NDUFS7/NDUFAB1/NDUFA3/NDUFB5/NDUFC2/NDUFB3/NDUFS2/NDUFB8/NDUFB9/NDUFA1/NDUFA2/NDUFB1/COX14/NDUFC1/NDUFA13/NDUFB4/NDUFA8",25
"Forestomach_epithelial","GO:0006119","oxidative phosphorylation","22/412","44/4524",2.38202931070538e-12,4.75972765902766e-10,4.38566927636092e-10,"COX7A2/ATP5PD/ATP5F1D/UQCR11/COX8A/COX6B1/COX8B/ATP5F1C/COX7A2L/NDUFS8/COX7B/NDUFA7/NDUFS7/NDUFAB1/NDUFC2/NDUFS2/NDUFB8/NDUFB9/STOML2/NDUFA8/PARK7/RHOA",22
"Forestomach_epithelial","GO:0046034","ATP metabolic process","32/412","90/4524",2.67696121584177e-12,4.90330062701683e-10,4.51795910463119e-10,"GAPDH/COX7A2/ATP5PD/ATP5F1D/ENO1/ATP5ME/UQCR11/TPI1/COX8A/COX6B1/COX8B/AK2/EIF6/ATP5PF/ATP5F1C/COX7A2L/NDUFS8/COX7B/NDUFA7/PGAM1/NDUFS7/NDUFAB1/NDUFC2/NDUFS2/NDUFB8/NDUFB9/PGK1/STOML2/NDUFA8/PARK7/GPI/RHOA",32
"Forestomach_epithelial","GO:0009060","aerobic respiration","26/412","63/4524",6.16506121855431e-12,1.04236958141403e-09,9.60451642469513e-10,"COX7A2/ATP5PD/ATP5F1D/UQCR11/COX8A/COX6B1/COX8B/MDH2/ATP5F1C/COX7A2L/NDUFS8/COX7B/NDUFA7/NDUFS7/NDUFAB1/NDUFC2/NDUFS2/NDUFB8/NDUFB9/SUCLG1/STOML2/SDHD/NDUFA8/PARK7/BLOC1S1/RHOA",26
